bedrooms,total_sqft,bath,balcony,price
2,1056,2,1,39.07
4,2600,5,3,120
3,1440,2,3,62
3,1521,3,1,95
2,1200,2,1,51
2,1170,2,1,38
4,2732,4,,204
4,3300,4,,600
3,1310,3,1,63.25
6,1020,6,,370
3,1800,2,2,70
4,2785,5,3,295
2,1000,2,1,38
2,1100,2,2,40
3,2250,3,2,148
2,1175,2,2,73.5
3,1180,3,2,48
3,1540,3,3,60
3,2770,4,2,290
2,1100,2,2,48
1,600,1,1,15
3,1755,3,1,122
4,2800,5,2,380
3,1767,3,1,103
1,510,1,0,25.25
3,1250,3,2,56
2,660,1,1,23.1
3,1610,3,2,81
2,1151,2,2,48.77
3,1025,2,1,47
4,2100,4,0,186
3,1075,2,1,35
3,1760,2,2,123
3,1693,3,3,57.39
3,1925,3,,125
2,700,2,1,36
2,1070,2,1,45.5
3,1724,3,2,125
3,1290,2,2,56.12
2,1143,2,2,45
2,1296,2,,81
3,1254,3,2,38
1,600,1,0,38
1,660,1,0,48
2,1330.74,2,2,91.79
8,600,9,,200
2,970,2,0,33
2,1459,2,1,94.82
2,800,1,1,130
2,869,2,1,36
2,1270,2,1,50
3,1670,3,1,99
3,2010,3,2,91
2,1185,2,2,75
3,1600,2,3,75
2,1200,2,2,44
4,3010,,,192
2,1500,2,2,185
6,1407,4,1,150
2,840,2,2,45
3,4395,3,2,240
2,845,2,1,55
4,5700,5,3,650
2,1160,2,2,44
8,3000,8,0,140
2,1100,2,1,62
2,1140,2,3,43
2,1220,2,1,57
8,1350,7,0,85
2,1005,2,1,36.68
3,500,3,2,100
2,1358,2,1,80.58
3,1569,3,1,101
2,1240,2,1,70
3,2089,3,2,140
2,1206,2,1,48.23
2,1150,2,3,40
3,2511,3,3,205
2,460,1,0,22
6,4400,6,3,250
3,1660,2,2,105
4,2957,,,224.5
2,1326,2,2,78
3,1325,2,2,60.8
3,1499,5,2,102
6,3000,7,2,210
3,1665,3,2,88
2,708,2,2,37
2,1060,2,2,58.06
6,710,6,3,160
2,1000,2,2,70
2,1000,2,1,28.88
3,1450,2,2,70
4,1200,4,2,155
